URL, First Contentful Paint, First Interactive,Speed Index,First Meaningful Paint, First CPU Idle
https://www.sykescottages.co.uk/,2.5 s,9.8 s,4.7 s,3.3 s,8.6 s
https://www.cottages.com/,4.4 s,17.1 s,9.9 s,4.8 s,14.4 s
https://www.homeaway.com/,2.2 s,11.1 s,4.6 s,2.4 s,10.4 s
https://www.airbnb.com/,2.0 s,25.8 s,5.9 s,2.0 s,12.2 s
